year,CO2_levels,N2O_levels,CH4_levels,Apples Count,Potatoes Count,Cocoa Count,Vanilla Count,Wheat Count,Bananas Count
1984,0.3443,303.9,1654,42769468,319175153,1810579,3243,600147593,39822624
1985,0.3458,304.5,1666,42536342,308395716,2013982,3224,585334525,40925400
1986,0.3472,305.3,1679,45948299,311650595,2118377,2792,618728915,44229469
1987,0.349,305.9,1691,42744125,306135606,2055901,4343,590980549,46664185
1988,0.3514,306.7,1703,47045066,300264456,2563305,5161,586089495,46903187
1989,0.353,307.6,1714,46981105,307678479,2640977,4737,629016161,46417345
1990,0.3542,308.6,1724,45377907,298855312,2532122,3582,689562051,51593382
1991,0.3555,309.3,1735,40548458,287434393,2521946,3553,643774312,53369314
1992,0.3562,309.9,1743,50832120,316805797,2677031,3962,666703282,58259346
1993,0.35700000000000004,310.1,1746,56804765,350560564,2672284,4635,671134687,59275825
1994,0.35860000000000003,310.7,1752,57605739,314039307,2671269,4004,624736763,61135781
1995,0.3604,311.4,1759,62869196,331315714,2985765,4358,646568961,62045314
1996,0.3621,312.0,1761,71397881,363571601,3237671,4616,689186126,60704394
1997,0.3633,312.9,1765,73231308,358338075,3017083,4531,737941865,65861595
1998,0.366,313.7,1774,74417934,362451828,3302838,5124,705901881,68642436
1999,0.368,314.6,1782,77800017,352212607,2975444,4942,698643525,74352513
2000,0.3695,315.7,1783,79567469,389087046,3338447,4638,684635286,72348955
2001,0.371,316.4,1782,77121971,370081997,3222552,5409,682116897,75527842
2002,0.3729,317.1,1783,74552333,380015695,3298203,6009,682335547,78694720
2003,0.3753,317.7,1787,79206881,375713826,3705194,5627,636462737,81064261
2004,0.3771000000000001,318.4,1786,85922048,400388131,4069808,6741,726618248,85643250
2005,0.3792,319.1,1785,85922879,388575281,4044041,8499,724466034,90312417
2006,0.3813,320.0,1785,89313809,372107831,4299997,10260,722847393,95742289
2007,0.3831,320.7,1791,93528690,377017661,3899063,10677,715893437,102221715
2008,0.3852,321.6,1799,98889318,395851492,4266011,10701,792758734,106525942
2009,0.3868,322.4,1804,103322725,400664886,4211424,10578,798754537,112097590
2010,0.389,323.3,1809,104453105,405255433,4329436,9557,755988842,118172070
2011,0.3909,324.3,1814,113059944,449620200,4614869,9401,814312402,119713862
2012,0.3931,325.2,1819,117090596,445453469,4613416,8484,794759469,120791621
2013,0.3958,326.2,1825,122514109,451136056,4484825,7935,832329194,124234977
2014,0.3977,327.3,1834,126271037,454225047,4744750,7367,854972972,122873502
2015,0.4001,328.3,1844,121309215,449029879,4827752,7784,874676048,124390936
2016,0.4033,329.1,1853,125402515,439174476,4651282,8592,881769116,121892122
2017,0.4056,329.9,1860,124527421,458640148,5268238,8549,906542576,123760964
2018,0.4079,331.1,1869,125058699,455636813,5573392,8196,864832773,127343124
2019,0.4105,332.0,1877,129662799,462316871,5596397,8094,899370766,128778738
