year,CO2_levels,N2O_levels,CH4_levels
1984,344.3,303.9,1654
1985,345.8,304.5,1666
1986,347.2,305.3,1679
1987,349,305.9,1691
1988,351.4,306.7,1703
1989,353,307.6,1714
1990,354.2,308.6,1724
1991,355.5,309.3,1735
1992,356.2,309.9,1743
1993,357,310.1,1746
1994,358.6,310.7,1752
1995,360.4,311.4,1759
1996,362.1,312,1761
1997,363.3,312.9,1765
1998,366,313.7,1774
1999,368,314.6,1782
2000,369.5,315.7,1783
2001,371,316.4,1782
2002,372.9,317.1,1783
2003,375.3,317.7,1787
2004,377.1,318.4,1786
2005,379.2,319.1,1785
2006,381.3,320,1785
2007,383.1,320.7,1791
2008,385.2,321.6,1799
2009,386.8,322.4,1804
2010,389,323.3,1809
2011,390.9,324.3,1814
2012,393.1,325.2,1819
2013,395.8,326.2,1825
2014,397.7,327.3,1834
2015,400.1,328.3,1844
2016,403.3,329.1,1853
2017,405.6,329.9,1860
2018,407.9,331.1,1869
2019,410.5,332,1877
